Tanggal;Tn;Tx;Tavg;RH_avg;RR;ss;ff_x;ddd_x;ff_avg;ddd_car;;Tn;Tx;Tavg;RH_avg;RR;ss
01-02-2024;25;31.6;27.8;83;0;2.2;7;340;1;C ;;26.17;32.40;28.96;79.18;10.05;3.56
02-02-2024;25.6;34.2;28.2;81;20.1;3.1;5;340;1;C ;;;;;;;
03-02-2024;25;31.6;28.1;79;20.3;3.2;4;270;2;W ;;;;;;;
04-02-2024;26.2;31;28;81;0;0.8;4;340;1;C ;;;;;;;
05-02-2024;26;32;27.9;84;14;2.4;10;320;1;C ;;;;;;;
06-02-2024;26.2;31;26.4;86;6.8;3.4;9;250;1;C ;;;;;;;
07-02-2024;24.6;33.4;28.9;75;14.8;3.5;5;260;1;C ;;;;;;;
08-02-2024;25.4;32.6;29.3;76;0;5;11;330;2;C ;;;;;;;
09-02-2024;26;31;29;79;0;8.5;6;320;2;NW;;;;;;;
10-02-2024;25.2;32;28.6;79;102;4.2;6;310;1;C ;;;;;;;
11-02-2024;26.6;32;28.8;78;0;5.2;7;300;2;NW;;;;;;;
12-02-2024;26.2;32.6;28.6;81;5.8;7.6;10;360;2;C ;;;;;;;
13-02-2024;26;31.2;28.6;80;3;5;8;320;2;C ;;;;;;;
14-02-2024;24.4;30;27.6;85;140.9;6.8;3;310;0;C ;;;;;;;
15-02-2024;26.17;31.4;28.5;85;3;2.1;5;300;1;C ;;;;;;;
16-02-2024;26.4;30;28.1;85;7.5;0.8;8;320;2;C ;;;;;;;
17-02-2024;25;31;28.3;82;18.4;0.2;4;300;1;C ;;;;;;;
18-02-2024;26;30.4;28.6;80;0;3;7;340;2;C ;;;;;;;
19-02-2024;26.6;32.4;29.5;78;0;2.7;9;300;2;C ;;;;;;;
20-02-2024;26.8;33;29.8;78;0;5.2;9;340;2;C ;;;;;;;
21-02-2024;26;33;29.5;77;0.2;7.2;5;320;1;C ;;;;;;;
22-02-2024;27.4;34;30.6;74;0;0.3;7;350;3;C ;;;;;;;
23-02-2024;27.2;34;30.3;72;3.2;5.8;4;330;2;C ;;;;;;;
24-02-2024;27.4;31.6;28.9;80;0;2.4;9;330;3;C ;;;;;;;
25-02-2024;26;32.8;28.4;81;5.7;3.8;9;340;2;C ;;;;;;;
26-02-2024;25.6;31;28.7;79;20.8;1.7;4;340;0;C ;;;;;;;
27-02-2024;26.2;32.2;29.1;78;0;2.5;6;340;1;C ;;;;;;;
28-02-2024;24.8;30.8;27.6;88;38.5;5.2;4;350;1;C ;;;;;;;
29-02-2024;25;27;26.1;92;75.5;0.3;2;320;0;C ;;;;;;;
01-03-2024;25.2;32.4;29.1;77;10;0;5;330;2;C ;;;;;;;
02-03-2024;26.4;30.4;27.7;86;0;5.2;4;310;1;NW;;;;;;;
03-03-2024;25.8;31;27.7;86;17.7;0;6;310;2;C ;;;;;;;
04-03-2024;25;34;29.2;74;6.8;0.2;4;270;2;C ;;;;;;;
05-03-2024;26.4;35.2;30.2;71;1;1;5;260;2;C ;;;;;;;
