Tanggal;Tn;Tx;Tavg;RH_avg;RR;ss;ff_x;ddd_x;ff_avg;ddd_car
01/01/2013;24.00;31.80;26.20;91.00;1.70;3.50;6.00;310.00;3.00;NW
02/01/2013;25.00;31.40;27.90;79.00;0.00;1.20;4.00;300.00;3.00;NW
03/01/2013;26.00;32.60;28.60;79.00;1.30;3.50;5.00;320.00;4.00;NW
04/01/2013;25.00;30.20;26.30;86.00;34.40;0.40;9.00;270.00;5.00;W 
05/01/2013;24.00;30.80;26.60;82.00;6.40;4.80;7.00;270.00;4.00;W 
06/01/2013;23.00;29.80;26.50;84.00;0.00;0.40;8.00;290.00;5.00;W 
07/01/2013;23.00;32.60;27.60;79.00;3.50;2.80;5.00;240.00;3.00;W 
08/01/2013;24.00;29.00;26.40;86.00;7.40;0.50;8.00;250.00;5.00;W 
09/01/2013;24.00;27.00;24.70;93.00;22.30;1.00;10.00;280.00;4.00;W 
10/01/2013;23.00;32.60;26.60;81.00;20.00;0.00;10.00;260.00;5.00;W 
11/01/2013;24.00;31.40;27.50;77.00;0.00;0.00;11.00;280.00;4.00;W 
12/01/2013;25.00;31.60;26.60;82.00;98.10;1.70;7.00;340.00;3.00;W 
13/01/2013;23.00;30.60;26.80;86.00;3.00;2.20;4.00;290.00;3.00;W 
14/01/2013;25.00;30.20;27.30;85.00;55.70;2.00;8.00;310.00;4.00;W 
15/01/2013;24.00;30.00;25.70;92.00;37.90;0.00;4.00;280.00;3.00;W 
16/01/2013;23.00;28.80;26.30;90.00;81.00;0.00;2.00;320.00;2.00;NW
17/01/2013;23.00;27.60;25.20;96.00;193.40;0.00;3.00;280.00;3.00;W 
18/01/2013;23.00;28.40;26.20;90.00;1.40;0.00;2.00;320.00;2.00;NW
19/01/2013;24.00;32.20;27.80;81.00;16.60;5.60;7.00;290.00;5.00;NW
20/01/2013;24.00;30.40;27.50;82.00;3.40;0.50;4.00;310.00;2.00;NW
21/01/2013;25.00;32.00;28.60;78.00;0.00;2.20;4.00;260.00;3.00;W 
22/01/2013;26.00;31.20;26.80;86.00;0.00;0.00;3.00;270.00;2.00;W 
23/01/2013;24.00;31.20;26.50;85.00;10.20;5.40;7.00;270.00;3.00;W 
24/01/2013;25.00;30.20;27.30;84.00;2.30;0.00;6.00;340.00;3.00;NW
25/01/2013;25.00;27.80;26.00;90.00;11.60;0.00;3.00;310.00;2.00;NW
26/01/2013;24.00;31.00;27.20;84.00;0.00;4.50;4.00;350.00;3.00;NW
27/01/2013;25.00;31.40;27.70;80.00;0.00;2.50;7.00;340.00;4.00;W 
28/01/2013;25.00;30.00;27.20;82.00;0.80;0.20;4.00;250.00;3.00;W 
29/01/2013;26.00;31.20;28.00;80.00;9.50;3.80;6.00;340.00;3.00;NW
30/01/2013;24.00;30.40;27.10;84.00;0.00;3.00;3.00;40.00;2.00;NE
31/01/2013;25.00;32.40;28.20;79.00;0.00;5.00;4.00;270.00;3.00;NW
01/02/2013;25.00;33.60;28.70;75.00;0.10;5.70;4.00;350.00;2.00;N 
02/02/2013;25.00;30.20;26.90;88.00;3.30;0.80;5.00;330.00;2.00;N 
03/02/2013;25.00;33.00;27.00;76.00;0.00;8.00;5.00;20.00;3.00;N 
04/02/2013;23.00;32.20;29.10;76.00;23.00;3.00;10.00;20.00;2.00;NE
05/02/2013;23.00;33.40;27.90;80.00;0.00;7.50;9.00;320.00;3.00;W 
06/02/2013;24.00;33.00;28.60;74.00;35.60;0.80;9.00;270.00;3.00;W 
07/02/2013;24.00;32.80;27.90;82.00;0.00;4.40;3.00;250.00;2.00;N 
08/02/2013;25.00;34.00;28.20;78.00;0.00;8.00;2.00;20.00;2.00;N 
09/02/2013;26.00;34.00;28.80;78.00;0.10;6.20;7.00;300.00;3.00;W 
10/02/2013;25.00;32.60;28.00;80.00;0.50;6.00;4.00;350.00;3.00;N 
11/02/2013;26.00;31.80;28.30;79.00;0.00;0.80;4.00;30.00;3.00;NE
12/02/2013;24.00;32.00;28.50;78.00;5.80;3.60;3.00;30.00;2.00;N 
13/02/2013;25.00;32.80;27.50;82.00;1.80;7.70;4.00;350.00;3.00;N 
14/02/2013;25.00;28.80;26.30;88.00;4.90;0.00;5.00;260.00;3.00;W 
15/02/2013;25.00;32.80;27.90;77.00;0.00;7.00;4.00;340.00;3.00;W 
16/02/2013;24.00;31.40;28.40;76.00;28.10;2.00;5.00;310.00;3.00;NW
17/02/2013;24.00;30.40;25.90;87.00;1.60;0.00;5.00;280.00;3.00;NW
18/02/2013;23.00;30.40;26.50;86.00;6.00;0.30;6.00;300.00;3.00;W 
19/02/2013;24.00;30.40;26.60;80.00;0.00;0.40;6.00;300.00;3.00;W 
20/02/2013;23.00;30.60;27.90;82.00;16.90;1.50;6.00;340.00;3.00;W 
21/02/2013;24.00;31.80;27.60;80.00;3.40;5.50;4.00;320.00;2.00;N 
22/02/2013;24.00;31.20;27.80;80.00;6.30;1.60;6.00;350.00;3.00;N 
23/02/2013;25.00;30.00;27.00;84.00;6.00;1.30;6.00;360.00;3.00;W 
24/02/2013;25.00;32.20;28.30;79.00;0.00;1.50;4.00;280.00;3.00;W 
25/02/2013;26.00;33.60;29.10;76.00;0.00;7.00;7.00;290.00;3.00;W 
26/02/2013;27.00;31.00;28.20;82.00;3.00;0.30;5.00;290.00;3.00;W 
27/02/2013;25.00;32.60;29.10;75.00;0.20;1.00;7.00;290.00;3.00;W 
28/02/2013;25.00;33.80;29.40;70.00;0.00;6.00;6.00;270.00;3.00;W 
01/03/2013;27.00;32.80;29.40;72.00;0.00;4.00;5.00;310.00;3.00;W 
02/03/2013;27.00;33.00;29.60;74.00;0.00;3.50;5.00;30.00;2.00;W 
03/03/2013;24.00;34.00;29.50;74.00;38.00;3.50;4.00;310.00;3.00;NW
04/03/2013;24.00;31.00;27.20;82.00;34.00;1.00;8.00;350.00;4.00;NW
05/03/2013;24.00;30.60;26.90;82.00;0.00;1.80;3.00;260.00;3.00;W 
06/03/2013;25.00;32.60;28.50;76.00;0.00;5.70;4.00;30.00;2.00;NW
07/03/2013;25.00;33.00;28.70;76.00;0.00;8.00;5.00;330.00;4.00;NW
08/03/2013;25.00;32.00;28.20;78.00;5.00;2.70;4.00;300.00;3.00;NW
09/03/2013;24.00;32.80;28.70;77.00;0.60;2.00;7.00;30.00;3.00;NW
10/03/2013;26.00;31.00;27.50;77.00;33.80;1.20;5.00;10.00;5.00;W 
11/03/2013;26.00;34.40;29.60;70.00;0.00;6.50;4.00;30.00;3.00;N 
12/03/2013;26.00;33.20;28.80;76.00;0.00;4.00;5.00;280.00;3.00;W 
13/03/2013;26.00;35.20;29.90;68.00;0.00;7.80;3.00;270.00;4.00;W 
14/03/2013;25.00;35.00;27.70;82.00;7.50;3.00;4.00;20.00;5.00;W 
15/03/2013;25.00;33.40;28.20;79.00;1.20;6.40;4.00;250.00;3.00;N 
16/03/2013;25.00;32.40;28.30;80.00;6.10;6.30;6.00;270.00;4.00;W 
17/03/2013;26.00;33.20;28.70;80.00;0.00;5.60;3.00;180.00;3.00;NW
18/03/2013;26.00;33.50;29.50;71.00;0.00;7.50;5.00;250.00;3.00;NW
19/03/2013;26.00;32.40;28.90;78.00;0.00;3.20;3.00;180.00;3.00;S 
20/03/2013;25.00;33.60;28.10;77.00;25.00;5.30;4.00;110.00;2.00;E 
21/03/2013;25.00;34.60;29.40;73.00;0.00;6.50;4.00;340.00;3.00;N 
22/03/2013;26.00;32.20;28.70;78.00;6.00;2.50;5.00;350.00;4.00;N 
23/03/2013;25.00;34.00;29.10;76.00;0.50;7.50;4.00;190.00;2.00;N 
24/03/2013;26.00;33.40;29.10;75.00;0.00;3.00;3.00;340.00;2.00;NW
25/03/2013;27.00;34.60;29.90;72.00;0.00;8.00;3.00;350.00;2.00;N 
26/03/2013;27.00;34.00;30.00;74.00;0.00;7.60;3.00;350.00;3.00;N 
27/03/2013;26.00;33.20;29.10;76.00;1.00;3.20;4.00;320.00;2.00;N 
28/03/2013;26.00;33.80;29.40;74.00;10.80;7.60;3.00;270.00;3.00;W 
29/03/2013;26.00;34.00;28.60;79.00;0.00;7.60;5.00;280.00;3.00;W 
30/03/2013;27.00;33.20;29.30;76.00;14.90;2.00;6.00;270.00;3.00;W 
31/03/2013;26.00;34.60;28.80;76.00;0.00;6.00;10.00;180.00;5.00;W 
01/04/2013;27.00;33.60;29.60;76.00;0.00;4.60;4.00;260.00;3.00;W 
02/04/2013;26.00;33.40;29.60;85.00;0.50;3.00;3.00;60.00;2.00;SW
03/04/2013;27.00;33.00;29.30;77.00;0.00;2.80;3.00;30.00;3.00;NE
04/04/2013;26.00;33.00;28.40;85.00;11.50;4.00;4.00;300.00;2.00;W 
05/04/2013;26.00;34.20;29.30;75.00;0.00;6.00;6.00;300.00;3.00;W 
06/04/2013;25.00;31.60;27.90;82.00;34.20;;5.00;300.00;3.00;SW
07/04/2013;25.00;30.80;27.70;82.00;2.20;;2.00;10.00;2.00;N 
08/04/2013;26.00;33.00;28.40;80.00;0.00;3.00;3.00;270.00;2.00;W 
09/04/2013;27.00;33.00;29.30;75.00;0.00;6.00;3.00;120.00;2.00;N 
10/04/2013;26.00;32.20;29.30;74.00;0.20;3.00;4.00;280.00;3.00;W 
11/04/2013;26.00;32.80;28.30;83.00;2.60;2.60;3.00;350.00;3.00;N 
12/04/2013;25.00;33.00;29.40;71.00;0.00;4.00;5.00;290.00;3.00;W 
13/04/2013;26.00;33.20;28.90;72.00;0.00;4.00;8.00;270.00;4.00;W 
14/04/2013;24.00;34.00;29.40;76.00;48.20;6.00;8.00;300.00;3.00;N 
15/04/2013;25.00;34.60;30.10;71.00;13.80;4.00;5.00;340.00;3.00;W 
16/04/2013;26.00;34.00;29.00;79.00;2.00;6.60;4.00;350.00;3.00;W 
17/04/2013;25.00;34.20;29.40;78.00;4.00;8.00;5.00;200.00;3.00;E 
18/04/2013;24.00;31.50;25.60;92.00;39.00;0.30;4.00;290.00;3.00;W 
19/04/2013;24.00;32.40;27.40;82.00;0.00;4.00;4.00;200.00;3.00;N 
20/04/2013;25.00;33.20;28.30;78.00;0.00;7.00;4.00;90.00;3.00;E 
21/04/2013;27.00;34.20;29.80;80.00;0.00;5.00;5.00;90.00;3.00;E 
22/04/2013;24.00;28.40;26.80;87.00;13.00;0.00;2.00;110.00;2.00;E 
23/04/2013;25.00;32.00;28.20;83.00;0.00;3.00;2.00;90.00;2.00;N 
24/04/2013;26.00;31.80;27.60;86.00;6.70;4.00;3.00;350.00;2.00;N 
25/04/2013;24.00;33.60;28.60;80.00;16.90;5.50;4.00;230.00;3.00;SW
26/04/2013;26.00;33.00;28.40;82.00;0.00;2.10;5.00;90.00;3.00;E 
27/04/2013;26.00;32.00;28.40;82.00;2.00;6.00;3.00;20.00;2.00;E 
28/04/2013;26.00;32.60;28.60;79.00;0.00;4.50;5.00;80.00;3.00;E 
29/04/2013;27.00;34.40;29.70;70.00;0.00;8.00;5.00;90.00;3.00;E 
30/04/2013;26.00;34.20;30.00;67.00;7.50;6.90;5.00;90.00;3.00;E 
01/05/2013;26.00;26.00;28.50;77.00;0.00;4.00;4.00;300.00;2.00;W 
02/05/2013;26.00;25.00;28.90;75.00;0.00;3.70;4.00;250.00;2.00;W 
03/05/2013;27.00;30.00;28.20;71.00;0.00;0.00;5.00;10.00;3.00;W 
04/05/2013;26.00;33.60;29.30;76.00;4.00;3.20;4.00;310.00;1.00;W 
05/05/2013;26.00;33.20;29.10;75.00;0.00;1.70;4.00;250.00;2.00;W 
06/05/2013;26.00;31.60;28.70;73.00;0.00;0.00;5.00;240.00;2.00;NW
07/05/2013;26.00;32.60;28.50;74.00;0.00;0.00;3.00;360.00;2.00;NW
08/05/2013;26.00;35.00;28.90;79.00;16.00;4.80;5.00;20.00;1.00;W 
09/05/2013;25.00;33.60;28.60;81.00;2.80;4.00;5.00;300.00;2.00;S 
10/05/2013;26.00;33.20;28.60;76.00;0.20;5.00;3.00;10.00;1.00;NW
11/05/2013;26.00;31.40;28.10;75.00;0.00;0.30;10.00;270.00;3.00;W 
12/05/2013;26.00;30.40;27.80;82.00;0.00;0.00;3.00;250.00;2.00;W 
13/05/2013;24.00;31.00;26.80;86.00;18.80;0.00;3.00;170.00;1.00;S 
