Aktual,Prediksi
31.6030,31.5051
30.7121,30.0541
29.8212,30.4055
30.4152,31.0887
33.2364,32.1824
31.9000,32.4127
33.0879,32.1290
32.4939,32.1634
32.4939,31.8680
31.7515,31.3212
29.9697,31.2442
32.3455,31.1886
32.6424,32.1357
31.6030,32.1201
32.4939,32.2163
31.9000,32.5405
33.3848,32.1203
34.2758,32.6534
31.7515,33.1263
33.8303,32.1084
33.2364,32.9925
34.1273,33.0148
33.8303,33.0932
33.6818,33.0999
34.5727,33.0839
34.5727,33.3862
33.5333,33.2349
32.9394,33.1130
33.0879,33.0888
33.6818,33.0825
30.7121,33.0739
33.6818,32.1104
32.6424,33.0848
31.9000,32.9459
31.9000,32.2637
31.9000,32.0965
32.0485,32.0895
32.9394,32.3295
32.4939,32.9016
31.6030,32.5315
33.2364,31.9962
34.2758,32.6641
32.3455,33.1444
33.5333,32.3807
34.4242,33.0232
33.6818,33.3256
33.8303,32.9933
34.5727,33.1699
32.3455,33.3412
32.0485,32.4299
33.5333,32.4840
33.8303,33.2599
33.0879,33.0298
33.6818,32.8800
32.3455,33.2219
34.8697,32.7267
33.9788,33.8363
35.4636,33.2981
35.3152,34.5340
34.1273,33.5451
33.3848,33.6882
33.9788,33.2382
34.2015,33.3904
33.3848,33.7527
34.2758,33.6262
35.0182,33.8219
33.2364,33.6695
34.5727,33.0974
34.1273,33.7614
35.0182,33.9037
34.5727,34.2855
33.9788,33.9464
34.4242,33.5485
34.5727,34.0195
33.9788,33.7434
35.0182,33.8675
34.2758,34.0305
34.1273,33.8555
33.8303,33.6743
33.8303,33.7051
34.7212,33.2764
32.7909,33.9864
32.1970,33.0877
33.8303,33.1733
33.8303,33.4540
33.2364,33.5843
33.6818,33.4651
33.8303,33.2783
33.9788,33.5634
34.5727,33.6085
35.0182,33.8328
34.5727,34.0833
34.7212,33.7607
32.7167,33.9626
33.3848,32.8743
33.9788,33.2117
34.7212,33.3159
30.4152,33.4652
33.0879,31.9924
32.9394,32.5627
34.2758,32.1139
33.8303,32.8917
33.0879,32.7039
33.5333,32.8069
34.8697,32.8390
34.7212,33.4619
28.6333,33.5151
27.8909,31.6241
31.6030,31.4602
34.2758,32.7873
33.9788,33.5048
32.7909,33.2932
33.5333,33.1184
35.3152,33.1950
34.2758,33.5371
33.9788,33.2120
32.6424,33.4531
31.9000,32.9967
32.3455,32.6619
33.6818,32.7535
33.8303,33.1100
33.3848,33.4515
29.8212,33.6616
33.0879,32.8348
34.1273,33.4197
33.9788,33.7233
33.8303,33.6938
33.9788,33.8357
33.8303,33.6848
34.2758,33.6627
34.4242,33.5603
34.4242,33.3975
34.1273,33.3786
33.2364,33.4304
34.2758,33.3555
34.7212,33.7732
28.3364,33.2876
27.5939,32.0600
31.1576,31.5480
29.3758,32.0477
29.2273,31.7751
32.1970,31.9565
33.5333,33.0429
33.3848,33.3891
33.5333,33.1504
31.9000,32.8945
33.2364,32.3721
33.6818,32.6883
31.3061,32.5667
32.3455,32.0340
32.4939,32.2389
33.8303,32.5818
33.2364,32.8671
31.0091,32.5683
33.5333,32.1145
32.0485,32.6239
32.4939,32.2781
29.9697,32.4509
33.2364,31.9280
32.6424,32.5795
33.0879,32.7030
34.2015,32.5657
33.6818,33.0056
31.6773,33.0734
32.9394,32.6956
33.2364,33.1345
33.2364,32.9713
34.2015,33.0332
33.4591,33.2872
31.1576,33.0660
29.3758,32.3135
29.2273,31.9704
32.1970,32.1897
33.5333,33.2506
33.3848,33.6516
33.5333,33.4433
31.9000,33.2406
33.2364,32.7509
33.6818,32.9964
31.3061,32.8036
32.3455,32.2252
32.4939,32.2098
33.8303,32.5357
33.2364,32.8671
31.0091,32.5683
33.5333,32.1145
32.0485,32.7145
32.4939,32.3071
29.9697,32.4778
33.2364,31.9451
32.6424,32.5945
33.0879,32.7111
34.2015,32.5742
33.6818,33.0101
31.6773,33.0771
32.9394,32.6987
33.2364,33.1442
33.2364,32.9813
33.9788,33.0419
33.0879,33.4892
33.5333,33.1357
33.9788,33.3238
33.3848,33.2779
34.1273,33.3613
33.2364,33.5924
33.2364,33.2978
32.6424,33.2813
33.6818,33.0971
33.5333,33.4036
33.5333,33.6768
33.0879,33.4908
33.6818,33.4591
34.1273,33.4977
34.8697,33.4313
34.4242,33.8593
32.8652,33.8455
34.2758,33.4363
33.0879,33.9956
34.4242,33.5099
35.3152,33.7759
34.8697,34.2235
34.5727,34.1904
34.5727,34.3287
34.7212,34.0240
34.1273,33.9998
34.1273,34.1119
34.5727,33.7905
34.2758,34.0991
34.1273,33.8331
35.0182,33.9685
35.1667,34.5479
33.3848,34.5157
33.0879,33.8308
34.4242,33.7620
33.0879,34.0447
32.7909,33.5969
33.0879,33.4810
33.0879,33.4044
33.2364,33.4829
34.1273,33.5712
34.7212,33.9025
34.1273,33.9735
34.1273,33.6780
33.0879,33.7612
33.8303,33.4422
33.8303,33.7623
33.8303,33.7248
34.5727,33.8396
34.5727,33.9599
34.4242,33.9137
34.5727,33.9714
34.5727,34.0901
35.4636,34.1844
35.6121,34.6890
34.1273,34.4693
34.1273,34.1090
33.6818,34.1759
33.8303,33.8933
32.9394,34.0081
35.4636,33.5815
