Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-01-2013,24.0,31.8,26.2,91.0,1.7,3.5,6.0,310.0,3.0,NW
02-01-2013,25.0,31.4,27.9,79.0,0.0,1.2,4.0,300.0,3.0,NW
03-01-2013,26.0,32.6,28.6,79.0,1.3,3.5,5.0,320.0,4.0,NW
04-01-2013,25.0,30.2,26.3,86.0,34.4,0.4,9.0,270.0,5.0,W 
05-01-2013,24.0,30.8,26.6,82.0,6.4,4.8,7.0,270.0,4.0,W 
06-01-2013,23.0,29.8,26.5,84.0,0.0,0.4,8.0,290.0,5.0,W 
07-01-2013,23.0,32.6,27.6,79.0,3.5,2.8,5.0,240.0,3.0,W 
08-01-2013,24.0,29.0,26.4,86.0,7.4,0.5,8.0,250.0,5.0,W 
09-01-2013,24.0,27.0,24.7,93.0,22.3,1.0,10.0,280.0,4.0,W 
10-01-2013,23.0,32.6,26.6,81.0,20.0,0.0,10.0,260.0,5.0,W 
11-01-2013,24.0,31.4,27.5,77.0,0.0,0.0,11.0,280.0,4.0,W 
12-01-2013,25.0,31.6,26.6,82.0,98.1,1.7,7.0,340.0,3.0,W 
13-01-2013,23.0,30.6,26.8,86.0,3.0,2.2,4.0,290.0,3.0,W 
14-01-2013,25.0,30.2,27.3,85.0,55.7,2.0,8.0,310.0,4.0,W 
15-01-2013,24.0,30.0,25.7,92.0,37.9,0.0,4.0,280.0,3.0,W 
16-01-2013,23.0,28.8,26.3,90.0,81.0,0.0,2.0,320.0,2.0,NW
17-01-2013,23.0,27.6,25.2,96.0,193.4,0.0,3.0,280.0,3.0,W 
18-01-2013,23.0,28.4,26.2,90.0,1.4,0.0,2.0,320.0,2.0,NW
19-01-2013,24.0,32.2,27.8,81.0,16.6,5.6,7.0,290.0,5.0,NW
20-01-2013,24.0,30.4,27.5,82.0,3.4,0.5,4.0,310.0,2.0,NW
21-01-2013,25.0,32.0,28.6,78.0,0.0,2.2,4.0,260.0,3.0,W 
